song,artist,year,highest_rank
New Rules,Dua Lipa,2018,Top 10
Needed Me,Rihanna,2016,Top 10
Paralyzer,Finger Eleven,2008,Top 10
Rude,MAGIC!,2014,Top 10
Firework,Katy Perry,2011,Top 10
Let Her Go,Passenger,2014,Top 10
Unwritten,Natasha Bedingfield,2006,Top 10
Bleeding Love,Leona Lewis,2008,Top 10
Super Bass,Nicki Minaj,2011,Top 10
Feel It Still,Portugal. The Man,2017,Top 10
Better,Khalid,2019,Top 10
Disturbia,Rihanna,2008,Top 10
Panda,Desiigner,2016,Top 10
Poker Face,Lady Gaga,2009,Top 10
Someone Like You,Adele,2011,Top 10
Hot N Cold,Katy Perry,2008,Top 10
Locked Out of Heaven,Bruno Mars,2013,Top 10
You Found Me,The Fray,2009,Top 10
Take Me To Church,Hozier,2015,Top 10
Cake By The Ocean,DNCE,2016,Top 10
Treat You Better,Shawn Mendes,2016,Top 10
Chasing Cars,Snow Patrol,2006,Top 10
Hotline Bling,Drake,2015,Top 10
Home,Phillip Phillips,2013,Top 10
What Hurts The Most,Rascal Flatts,2006,Top 10
Just A Kiss,Lady Antebellum,2011,Top 10
Humble,Kendrick Lamar,2017,Top 10
Love Song,Sara Bareilles,2008,Top 10
Roar,Katy Perry,2013,Top 10
What You Know Bout Love,Pop Smoke,2021,Top 10
Bad Romance,Lady Gaga,2010,Top 10
Scars To Your Beautiful,Alessia Cara,2017,Top 10
Attention,Charlie Puth,2017,Top 10
Good Feeling,Flo Rida,2012,Top 10
Glad You Came,The Wanted,2012,Top 10
Stronger (What Doesn't Kill You),Kelly Clarkson,2012,Top 10
You're Beautiful,James Blunt,2006,Top 10
Safe and Sound,Capital Cities,2013,Top 10
My House,Flo Rida,2016,Top 10
7 Rings,Ariana Grande,2019,Top 10
7 Years,Lukas Graham,2016,Top 10
Gives You Hell,The All-American Rejects,2009,Top 10
Too Close,Alex Clare,2012,Top 10
Cheerleader,OMI,2015,Top 10
I'm Not the Only One,Sam Smith,2015,Top 10
Forever,Chris Brown,2008,Top 10
Closer,Ne-Yo,2008,Top 10
Love Me Like You Do,Ellie Goulding,2015,Top 10
Pumped Up Kicks,Foster The People,2011,Top 10
Montero (Call Me By Your Name),Lil Nas X,2021,Top 10
Rockstar,Nickelback,2007,Top 10
What Makes You Beautiful,One Direction,2012,Top 10
I Knew You Were Trouble,Taylor Swift,2013,Top 10
Grenade,Bruno Mars,2011,Top 10
Set Fire to the Rain,Adele,2012,Top 10
Ride,twenty one pilots,2016,Top 10
Want To Want Me,Jason Derulo,2015,Top 10
Teenage Dream,Katy Perry,2010,Top 10
I Won't Give Up,Jason Mraz,2012,Top 10
What Do You Mean,Justin Bieber,2015,Top 10
No Air,"Jordin Sparks, Chris Brown",2008,Top 10
Hey There Delilah,Plain White T's,2007,Top 10
SAD,XXXTENTACION,2018,Top 10
Sorry Not Sorry,Demi Lovato,2017,Top 10
Dance Monkey,Tones And I,2020,Top 10
XO Tour Llif3,Lil Uzi Vert,2017,Top 10
Watermelon Sugar,Harry Styles,2020,Top 10
Everybody Talks,Neon Trees,2012,Top 10
Starships,Nicki Minaj,2012,Top 10
Wrecking Ball,Miley Cyrus,2013,Top 10
Whatcha Say,Jason Derulo,2009,Top 10
Forever After All,Luke Combs,2020,Top 10
There's Nothing Holdin' Me Back,Shawn Mendes,2017,Top 10
Boo'd Up,Ella Mai,2018,Top 10
When I Was Your Man,Bruno Mars,2013,Top 10
I - Me - Myself,"G-Eazy, Bebe Rexha",2016,Top 10
Be Without You,Mary J. Blige,2006,Top 10
Bad Day,Daniel Powter,2006,Top 10
Never Be the Same,Camila Cabello,2018,Top 10
Rockin Around The Christmas Tree,Brenda Lee,2021,Top 10
Home,Daughtry,2007,Top 10
In My Head,Jason Derulo,2010,Top 10
Drive By,Train,2012,Top 10
Story of My Life,One Direction,2013,Top 10
Temperature,Sean Paul,2006,Top 10
Replay,Iyaz,2010,Top 10
everything i wanted,Billie Eilish,2019,Top 10
Lips of an Angel,Hinder,2006,Top 10
Team,Lorde,2014,Top 10
Sweet But Psycho,Ava Max,2019,Top 10
Second Chance,Shinedown,2009,Top 10
Heartless,Kanye West,2009,Top 10
positions,Ariana Grande,2020,Top 10
Irreplaceable,Beyonce,2007,Top 10
Dynamite,BTS,2020,Top 10
Panini,Lil Nas X,2019,Top 10
Let It Go,Idina Menzel,2014,Top 10
I Write Sins Not Tragedies,Panic! At The Disco,2006,Top 10
Animals,Maroon 5,2014,Top 10
Mask Off,Future,2017,Top 10
Gangnam Style,PSY,2012,Top 10
Drivers License,Olivia Rodrigo,2021,Top 10
With You,Chris Brown,2008,Top 10
Centuries,Fall Out Boy,2015,Top 10
Deja Vu,Olivia Rodrigo,2021,Top 10
Pocketful of Sunshine,Natasha Bedingfield,2008,Top 10
Blueberry Faygo,Lil Mosey,2020,Top 10
Save Your Tears,"The Weeknd, Ariana Grande",2021,Top 10
Say It Right,Nelly Furtado,2007,Top 10
Thank U Next,Ariana Grande,2019,Top 10
Party in the USA,Miley Cyrus,2009,Top 10
Here,Alessia Cara,2016,Top 10
Just A Dream,Nelly,2010,Top 10
Hello,Adele,2016,Top 10
It Will Rain,Bruno Mars,2012,Top 10
Fireflies,Owl City,2009,Top 10
Far Away,Nickelback,2006,Top 10
Without You,The Kid LAROI,2021,Top 10
Good As Hell,Lizzo,2019,Top 10
Dirty Little Secret,The All-American Rejects,2006,Top 10
Jealous,Nick Jonas,2015,Top 10
Stronger,Kanye West,2007,Top 10
Savage,Megan Thee Stallion,2020,Top 10
Crazy,Gnarls Barkley,2006,Top 10
Tattoo,Jordin Sparks,2008,Top 10
Holy Grail,"Jay Z, Justin Timberlake",2013,Top 10
Dance Dance,Fall Out Boy,2006,Top 10
Halo,Beyonce,2009,Top 10
The Climb,Miley Cyrus,2009,Top 10
Bad At Love,Halsey,2018,Top 10
Fight Song,Rachel Platten,2015,Top 10
good 4 u,Olivia Rodrigo,2021,Top 10
Roxanne,Arizona Zervas,2019,Top 10
Don't,Ed Sheeran,2014,Top 10
Diamonds,Rihanna,2012,Top 10
Don't Stop the Music,Rihanna,2008,Top 10
The Show Goes On,Lupe Fiasco,2011,Top 10
Only Girl In The World,Rihanna,2010,Top 10
Cooler Than Me,Mike Posner,2010,Top 10
Nice For What,Drake,2018,Top 10
No Tears Left To Cry,Ariana Grande,2018,Top 10
Same Old Love,Selena Gomez,2016,Top 10
Lips are Movin,Meghan Trainor,2015,Top 10
Style,Taylor Swift,2015,Top 10
Love on the Brain,Rihanna,2017,Top 10
Astronaut In The Ocean,Masked Wolf,2021,Top 10
Jingle Bell Rock,Bobby Helms,2021,Top 10
Middle Child,J. Cole,2019,Top 10
Wide Awake,Katy Perry,2012,Top 10
We Can't Stop,Miley Cyrus,2013,Top 10
Miss Independent,Ne-Yo,2008,Top 10
Honey I'm Good,Andy Grammer,2015,Top 10
Girlfriend,Avril Lavigne,2007,Top 10
Paparazzi,Lady Gaga,2009,Top 10
Take A Bow,Rihanna,2008,Top 10
Fergalicious,Fergie,2007,Top 10
Not Afraid,Eminem,2010,Top 10
Photograph,Ed Sheeran,2015,Top 10
Wildest Dreams,Taylor Swift,2015,Top 10
Tonight Tonight,Hot Chelle Rae,2011,Top 10
BANG,AJR,2021,Top 10
Fake Love,Drake,2017,Top 10
Whistle,Flo Rida,2012,Top 10
Therefore I Am,Billie Eilish,2020,Top 10
Suit Tie,"Justin Timberlake, JAY Z",2013,Top 10
PILLOWTALK,Zayn,2016,Top 10
Dani California,Red Hot Chili Peppers,2006,Top 10
Bounce Back,Big Sean,2017,Top 10
Where Have You Been,Rihanna,2012,Top 10
Gotta Be Somebody,Nickelback,2008,Top 10
Mo Bamba,Sheck Wes,2018,Top 10
Turn Me On,"David Guetta, Nicki Minaj",2012,Top 10
Makes Me Wonder,Maroon 5,2007,Top 10
Shake It,Metro Station,2008,Top 10
We Are Never Ever Getting Back Together,Taylor Swift,2012,Top 10
Clumsy,Fergie,2008,Top 10
Stickwitu,The Pussycat Dolls,2006,Top 10
How to Love,Lil Wayne,2011,Top 10
Too Good at Goodbyes,Sam Smith,2017,Top 10
The Lazy Song,Bruno Mars,2011,Top 10
Day N Nite,Kid Cudi,2009,Top 10
So Sick,Ne-Yo,2006,Top 10
In My Feelings,Drake,2018,Top 10
Sweet Dreams,Beyonce,2009,Top 10
Last Friday Night TGIF,Katy Perry,2011,Top 10
SOS,Rihanna,2006,Top 10
What Goes Around Comes Around,Justin Timberlake,2007,Top 10
Applause,Lady Gaga,2013,Top 10
Love Lockdown,Kanye West,2008,Top 10
Castle On The Hill,Ed Sheeran,2017,Top 10
The Edge of Glory,Lady Gaga,2011,Top 10
Lose You To Love Me,Selena Gomez,2019,Top 10
Boom Clap,Charli XCX,2014,Top 10
I Kissed A Girl,Katy Perry,2008,Top 10
Finesse,"Bruno Mars, Cardi B",2018,Top 10
See You Again,Miley Cyrus,2008,Top 10
Whataya Want from Me,Adam Lambert,2010,Top 10
My Life Would Suck Without You,Kelly Clarkson,2009,Top 10
Domino,Jessie J,2012,Top 10
Summer,Calvin Harris,2014,Top 10
Black And Yellow,Wiz Khalifa,2011,Top 10
Best I Ever Had,Drake,2009,Top 10
If I Can't Have You,Shawn Mendes,2019,Top 10
Take You There,Sean Kingston,2008,Top 10
Womanizer,Britney Spears,2008,Top 10
Don't Matter,Akon,2007,Top 10
Rude Boy,Rihanna,2010,Top 10
The One That Got Away,Katy Perry,2012,Top 10
Treasure,Bruno Mars,2013,Top 10
Dirt Road Anthem,Jason Aldean,2011,Top 10
Heartless,The Weeknd,2019,Top 10
Daylight,Maroon 5,2013,Top 10
Maps,Maroon 5,2014,Top 10
Bulletproof,La Roux,2010,Top 10
Waking Up In Vegas,Katy Perry,2009,Top 10
Circus,Britney Spears,2008,Top 10
Part Of Me,Katy Perry,2012,Top 10
Butter,BTS,2021,Top 10
Ridin' Solo,Jason Derulo,2010,Top 10
Don't Wake Me Up,Chris Brown,2012,Top 10
Alejandro,Lady Gaga,2010,Top 10
Fire Burning,Sean Kingston,2009,Top 10
Right Now (Na Na Na),Akon,2008,Top 10
Mine,Taylor Swift,2010,Top 10
Highest in the Room,Travis Scott,2019,Top 10
Started From The Bottom,Drake,2013,Top 10
Sorry,Buckcherry,2008,Top 10
Bed,J. Holiday,2007,Top 10
Find Your Love,Drake,2010,Top 10
Gucci Gang,Lil Pump,2017,Top 10
What I've Done,Linkin Park,2007,Top 10
Up,Cardi B,2021,Top 10
Obsessed,Mariah Carey,2009,Top 10
Damaged,Danity Kane,2008,Top 10
RAPSTAR,Polo G,2021,Top 10
Welcome To The Black Parade,My Chemical Romance,2007,Top 10
Call Me When You're Sober,Evanescence,2006,Top 10
Dangerous Woman,Ariana Grande,2016,Top 10
Bad Habits,Ed Sheeran,2021,Top 10
Mr Know It All,Kelly Clarkson,2011,Top 10
Not a Bad Thing,Justin Timberlake,2014,Top 10
Say Goodbye,Chris Brown,2006,Top 10
Ain't it Fun,Paramore,2014,Top 10
Crush,David Archuleta,2008,Top 10
God is a woman,Ariana Grande,2018,Top 10
London Bridge,Fergie,2006,Top 10
Don't Forget About Us,Mariah Carey,2006,Top 10
You Need To Calm Down,Taylor Swift,2019,Top 10
Unfaithful,Rihanna,2006,Top 10
Hotel Room Service,Pitbull,2009,Top 10
Beautiful Girls,Sean Kingston,2007,Top 10
Paris,The Chainsmokers,2017,Top 10
Boyfriend,Justin Bieber,2012,Top 10
I Cry,Flo Rida,2012,Top 10
Born This Way,Lady Gaga,2011,Top 10
Scream,Usher,2012,Top 10
Ain't No Other Man,Christina Aguilera,2006,Top 10
Fancy Like,Walker Hayes,2021,Top 10
It Ends Tonight,The All-American Rejects,2007,Top 10
Anaconda,Nicki Minaj,2014,Top 10
Touch My Body,Mariah Carey,2008,Top 10
A Sky Full Of Stars,Coldplay,2014,Top 10
Love Somebody,Maroon 5,2013,Top 10
Traitor,Olivia Rodrigo,2021,Top 10
break up with your girlfriend i'm bored,Ariana Grande,2019,Top 10
3,Britney Spears,2009,Top 10
Whats Left Of Me,Nick Lachey,2006,Top 10
Heart Attack,Demi Lovato,2013,Top 10
Yo Excuse Me Miss,Chris Brown,2006,Top 10
Summer Love,Justin Timberlake,2007,Top 10
It's The Most Wonderful Time Of The Year,Andy Williams,2021,Top 10
Sexy Love,Ne-Yo,2006,Top 10
The Man,Aloe Blacc,2014,Top 10
Come And Go,"Juice WRLD, Marshmello",2020,Top 10
When I Grow Up,The Pussycat Dolls,2008,Top 10
Battlefield,Jordin Sparks,2009,Top 10
Tunnel Vision,Kodak Black,2017,Top 10
Save Your Tears,The Weeknd,2021,Top 10
I Wanna Go,Britney Spears,2011,Top 10
Don't Mind,Kent Jones,2016,Top 10
Show Stopper,Danity Kane,2006,Top 10
Toosie Slide,Drake,2020,Top 10
Sensual Seduction,Snoop Dogg,2008,Top 10
Christmas Is A Birthday,Burl Ives,2021,Top 10
Hands To Myself,Selena Gomez,2016,Top 10
Levitating,Dua Lipa,2021,Top 10
Drag Me Down,One Direction,2015,Top 10
If I Were A Boy,Beyonce,2008,Top 10
Harlem Shake,Baauer,2013,Top 10
You And I,Lady Gaga,2011,Top 10
Good Days,SZA,2021,Top 10
5 Oclock,"T-Pain, Wiz Khalifa, Lily Allen",2011,Top 10
Lover,Taylor Swift,2019,Top 10
New Divide,Linkin Park,2009,Top 10
The Heart Wants What It Wants,Selena Gomez,2014,Top 10
Stir Fry,Migos,2018,Top 10
Need To Know,Doja Cat,2021,Top 10
Chain Hang Low,Jibbs,2006,Top 10
Back To December,Taylor Swift,2010,Top 10
This Ain't a Scene It's an Arms Race,Fall Out Boy,2007,Top 10
NO,Meghan Trainor,2016,Top 10
Whoopty,CJ,2021,Top 10
Look What You Made Me Do,Taylor Swift,2017,Top 10
Last Christmas,Wham!,2021,Top 10
Berzerk,Eminem,2013,Top 10
willow,Taylor Swift,2020,Top 10
DNA,Kendrick Lamar,2017,Top 10
Passionfruit,Drake,2017,Top 10
Because Of You,Ne-Yo,2007,Top 10
The Time of My Life,David Cook,2008,Top 10
Perfect,One Direction,2015,Top 10
Rap God,Eminem,2013,Top 10
Life Is A Highway,Rascal Flatts,2006,Top 10
Cheers (Drink to That),Rihanna,2011,Top 10
Lay Me Down,Sam Smith,2015,Top 10
Gimme More,Britney Spears,2007,Top 10
Ready For It,Taylor Swift,2017,Top 10
Rehab,Amy Winehouse,2007,Top 10
7 Summers,Morgan Wallen,2020,Top 10
Never Again,Kelly Clarkson,2007,Top 10
Wind It Up,Gwen Stefani,2006,Top 10
Wishing Well,Juice WRLD,2020,Top 10
Anyone,Justin Bieber,2021,Top 10
Burnin up,Jonas Brothers,2008,Top 10
This Is America,Childish Gambino,2018,Top 10
Best Song Ever,One Direction,2013,Top 10
Hold It Against Me,Britney Spears,2011,Top 10
Let It Snow Let It Snow Let It Snow,Dean Martin,2021,Top 10
Feliz Navidad,Jose Feliciano,2021,Top 10
Sorry Blame It on Me,Akon,2007,Top 10
The Bigger Picture,Lil Baby,2020,Top 10
Keeps Gettin' Better,Christina Aguilera,2008,Top 10
The Fox,Ylvis,2013,Top 10
Today Was a Fairytale,Taylor Swift,2010,Top 10
Malibu,Miley Cyrus,2017,Top 10
Not Ready To Make Nice,Dixie Chicks,2007,Top 10
Take My Breath,The Weeknd,2021,Top 10
Turn Up the Music,Chris Brown,2012,Top 10
Sign Of The Times,Harry Styles,2017,Top 10
Skyfall,Adele,2012,Top 10
Million Reasons,Lady Gaga,2017,Top 10
Yonaguni,Bad Bunny,2021,Top 10
Whats Next,Drake,2021,Top 10
Deja Vu,J. Cole,2016,Top 10
Stuck With U,"Ariana Grande, Justin Bieber",2020,Top 10
Call Out My Name,The Weeknd,2018,Top 10
Focus,Ariana Grande,2015,Top 10
Yummy,Justin Bieber,2020,Top 10
7 Things,Miley Cyrus,2008,Top 10
New Soul,Yael Naim,2008,Top 10
Chun Li,Nicki Minaj,2018,Top 10
Show Me What You Got,JAY-Z,2006,Top 10
Live While We're Young,One Direction,2012,Top 10
cardigan,Taylor Swift,2020,Top 10
Red,Taylor Swift,2012,Top 10
Stupid Love,Lady Gaga,2020,Top 10
Wasted On You,Morgan Wallen,2021,Top 10
Russian Roulette,Rihanna,2009,Top 10
Gentleman,PSY,2013,Top 10
Can't Be Tamed,Miley Cyrus,2010,Top 10
Begin Again,Taylor Swift,2012,Top 10
We Made You,Eminem,2009,Top 10
Shivers,Ed Sheeran,2021,Top 10
Hurricane,Kanye West,2021,Top 10
1234,Feist,2007,Top 10
Skyscraper,Demi Lovato,2011,Top 10
Judas,Lady Gaga,2011,Top 10
Run Rudolph Run,Chuck Berry,2021,Top 10
Do I Make You Proud,Taylor Hicks,2006,Top 10
That's What I Want,Lil Nas X,2021,Top 10
No Sleep,Wiz Khalifa,2011,Top 10
Permission To Dance,BTS,2021,Top 10
My Universe,"Coldplay, BTS",2021,Top 10
Piece By Piece,Kelly Clarkson,2016,Top 10
Stargazing,Travis Scott,2018,Top 10
Smile,"Juice WRLD, The Weeknd",2020,Top 10
Champagne Poetry,Drake,2021,Top 10
Filthy,Justin Timberlake,2018,Top 10
Fearless,Taylor Swift,2008,Top 10
Ill Stand By You,Carrie Underwood,2007,Top 10
Your Power,Billie Eilish,2021,Top 10
Follow God,Kanye West,2019,Top 10
We Are The World,Artists For Haiti,2010,Top 10
My Future,Billie Eilish,2020,Top 10
FAKE LOVE,BTS,2018,Top 10
The 1,Taylor Swift,2020,Top 10
Dont Stop Believin,Glee Cast,2009,Top 10
He Could Be The One,Hannah Montana,2009,Top 10
Atm,J. Cole,2018,Top 10
Conversations,Juice WRLD,2020,Top 10
TSU,Drake,2021,Top 10
Easy On Me,Adele,2021,Top 10
Kevins Heart,J. Cole,2018,Top 10
Yikes,Kanye West,2018,Top 10
Baby Pluto,Lil Uzi Vert,2020,Top 10
Amari,J. Cole,2021,Top 10
Life Goes On,BTS,2020,Top 10
Teenage Dream,Glee Cast,2010,Top 10
Speak Now,Taylor Swift,2010,Top 10
Tonight,Jonas Brothers,2008,Top 10
Jump Then Fall,Taylor Swift,2009,Top 10
Diplomatic Immunity,Drake,2018,Top 10
Change,Taylor Swift,2008,Top 10
If This Was a Movie,Taylor Swift,2011,Top 10
Jail,Kanye West,2021,Top 10
Dope,Lady Gaga,2013,Top 10
We Might Be Dead By Tomorrow,Soko,2014,Top 10
