song,artist,year,highest_rank
Blinding Lights,The Weeknd,2020,Top 10
Radioactive,Imagine Dragons,2013,Top 10
Circles,Post Malone,2020,Top 10
I'm Yours,Jason Mraz,2008,Top 10
Shape of You,Ed Sheeran,2017,Top 10
Rolling In The Deep,Adele,2011,Top 10
Perfect,Ed Sheeran,2018,Top 10
I Gotta Feeling,The Black Eyed Peas,2009,Top 10
Without Me,Halsey,2019,Top 10
Need You Now,Lady Antebellum,2010,Top 10
Before He Cheats,Carrie Underwood,2007,Top 10
Someone You Loved,Lewis Capaldi,2019,Top 10
Thinking Out Loud,Ed Sheeran,2015,Top 10
Sicko Mode,Travis Scott,2018,Top 10
Better Now,Post Malone,2018,Top 10
Ho Hey,The Lumineers,2013,Top 10
Bad Guy,Billie Eilish,2019,Top 10
Trap Queen,Fetty Wap,2015,Top 10
All of Me,John Legend,2014,Top 10
Can't Stop The Feeling,Justin Timberlake,2016,Top 10
Wake Me Up,Avicii,2013,Top 10
That's What I Like,Bruno Mars,2017,Top 10
Don't Start Now,Dua Lipa,2020,Top 10
Stay With Me,Sam Smith,2014,Top 10
Call Me Maybe,Carly Rae Jepsen,2012,Top 10
The Hills,The Weeknd,2015,Top 10
Hope Is A Dangerous Thing For A Woman Like Me To Have - But I Have It,"Cardi B, Bad Bunny, J Balvin",2018,Top 10
Hey Soul Sister,Train,2010,Top 10
Viva La Vida,Coldplay,2008,Top 10
Adore You,Harry Styles,2020,Top 10
Love Story,Taylor Swift,2009,Top 10
Lucid Dreams,Juice WRLD,2018,Top 10
You Belong With Me,Taylor Swift,2009,Top 10
Sucker,Jonas Brothers,2019,Top 10
Just The Way You Are,Bruno Mars,2010,Top 10
Believer,Imagine Dragons,2017,Top 10
Big Girls Don't Cry,Fergie,2007,Top 10
Some Nights,fun.,2012,Top 10
High Hopes,Panic! At The Disco,2019,Top 10
Stitches,Shawn Mendes,2015,Top 10
Happy,Pharrell Williams,2014,Top 10
All About That Bass,Meghan Trainor,2014,Top 10
Dynamite,Taio Cruz,2010,Top 10
Use Somebody,Kings Of Leon,2009,Top 10
Wow,Post Malone,2019,Top 10
Stressed Out,twenty one pilots,2016,Top 10
Talk,Khalid,2019,Top 10
How To Save A Life,The Fray,2006,Top 10
Demons,Imagine Dragons,2014,Top 10
Royals,Lorde,2013,Top 10
Lights,Ellie Goulding,2012,Top 10
Shut Up and Dance,WALK THE MOON,2015,Top 10
Love Yourself,Justin Bieber,2016,Top 10
Truth Hurts,Lizzo,2019,Top 10
Pompeii,Bastille,2014,Top 10
Youngblood,5 Seconds Of Summer,2018,Top 10
Sorry,Justin Bieber,2016,Top 10
All I Want For Christmas Is You,Mariah Carey,2021,Top 10
Memories,Maroon 5,2020,Top 10
Can't Feel My Face,The Weeknd,2015,Top 10
Sugar,Maroon 5,2015,Top 10
No One,Alicia Keys,2007,Top 10
Chandelier,Sia,2014,Top 10
Before You Go,Lewis Capaldi,2020,Top 10
Thunder,Imagine Dragons,2018,Top 10
Heathens,twenty one pilots,2016,Top 10
Body Like a Back Road,Sam Hunt,2017,Top 10
The Box,Roddy Ricch,2020,Top 10
Mirrors,Justin Timberlake,2013,Top 10
One More Night,Maroon 5,2012,Top 10
Senorita,"Shawn Mendes, Camila Cabello",2019,Top 10
Bubbly,Colbie Caillat,2007,Top 10
God's Plan,Drake,2018,Top 10
24K Magic,Bruno Mars,2017,Top 10
